,pmcid,part,tokens,term_frequency
1772,PMC6299877,abstract,possibly,1
1773,PMC6299877,method,frequently,1
1774,PMC6300498,abstract,frequently,1
1775,PMC6300498,discussion,frequently,4
1776,PMC6300498,discussion,likely,1
1777,PMC6300498,discussion,often,3
1778,PMC6300498,introduction,frequently,4
1779,PMC6300498,introduction,often,1
1780,PMC6300498,introduction,usually,1
1781,PMC6300498,result,frequently,2
1782,PMC6300498,result,likely,1
1783,PMC6306969,Instruments,always,1
1784,PMC6306969,Instruments,never,1
1785,PMC6306969,Instruments,often,3
1786,PMC6306969,discussion,possibly,1
1787,PMC6306969,introduction,frequently,1
1788,PMC6306969,introduction,likely,3
1789,PMC6306969,introduction,often,1
1790,PMC6306969,introduction,usually,1
1791,PMC6306969,result,probability,3
1792,PMC6308158,discussion,never,1
1793,PMC6308158,method,always,1
1794,PMC6308158,method,never,2
1795,PMC6308158,method,often,6
1796,PMC6308158,method,probability,1
1797,PMC6331648,discussion,likely,1
1798,PMC6333692,discussion,always,1
1799,PMC6333692,discussion,maybe,2
1800,PMC6333692,discussion,often,1
1801,PMC6333692,discussion,unlikely,1
1802,PMC6333692,introduction,likely,1
1803,PMC6333692,introduction,often,4
1804,PMC6333692,introduction,usually,4
1805,PMC6333692,method,always,1
1806,PMC6333692,method,unlikely,1
1807,PMC6333692,method,usually,1
1808,PMC6333692,result,often,1
1809,PMC6333692,result,probability,17
1810,PMC6352159,introduction,often,1
1811,PMC6352159,introduction,usually,1
1812,PMC6352253,introduction,frequently,1
1813,PMC6352253,introduction,often,1
1814,PMC6352253,method,never,1
1815,PMC6352253,method,often,1
1816,PMC6358706,Current Study,often,1
1817,PMC6358706,abstract,likely,2
1818,PMC6358706,abstract,often,2
1819,PMC6358706,discussion,always,1
1820,PMC6358706,discussion,likely,2
1821,PMC6358706,discussion,often,2
1822,PMC6358706,method,always,1
1823,PMC6358706,method,never,1
1824,PMC6365428,Experimental Study,frequently,1
1825,PMC6365428,Experimental Study,likely,3
1826,PMC6365428,conclusion,likely,1
1827,PMC6365428,conclusion,probably,2
1828,PMC6365428,discussion,frequently,1
1829,PMC6365428,discussion,probably,1
1830,PMC6365428,introduction,likely,4
1831,PMC6365428,introduction,often,1
1832,PMC6365428,method,likely,1
1833,PMC6365428,method,unlikely,1
1834,PMC6370711,conclusion,usually,1
1835,PMC6370711,discussion,likely,2
1836,PMC6370711,discussion,probably,1
1837,PMC6370711,discussion,usually,2
1838,PMC6370711,introduction,likely,1
1839,PMC6370711,introduction,often,2
1840,PMC6370711,introduction,rarely,1
1841,PMC6370711,introduction,usually,2
1842,PMC6370711,method,frequently,2
1843,PMC6373255,discussion,always,1
1844,PMC6373255,discussion,often,1
1845,PMC6373255,result,always,2
1846,PMC6373255,result,often,4
1847,PMC6373255,result,rarely,1
1848,PMC6373255,result,usually,1
1849,PMC6378283,abstract,frequently,1
1850,PMC6378283,discussion,frequently,3
1851,PMC6378283,discussion,likely,1
1852,PMC6378283,introduction,frequently,4
1853,PMC6378283,introduction,rarely,1
1854,PMC6378283,introduction,usually,1
1855,PMC6378283,method,unlikely,1
1856,PMC6378283,result,probability,1
1857,PMC6378819,discussion,always,1
1858,PMC6378819,method,possibly,1
1859,PMC6378819,result,always,2
1860,PMC6378819,result,never,1
1861,PMC6392950,introduction,frequently,1
1862,PMC6392950,introduction,likely,1
1863,PMC6392950,introduction,often,2
1864,PMC6392950,limitation,usually,1
1865,PMC6397884,The Present Study,always,1
1866,PMC6397884,The Present Study,frequently,2
1867,PMC6397884,The Present Study,likely,1
1868,PMC6397884,The Present Study,often,2
1869,PMC6397884,The Present Study,probability,1
1870,PMC6397884,discussion,always,1
1871,PMC6397884,discussion,likely,1
1872,PMC6397884,discussion,never,1
1873,PMC6397884,discussion,rarely,1
1874,PMC6397884,introduction,likely,2
1875,PMC6400863,Hypotheses,likely,7
1876,PMC6400863,Hypotheses,probability,4
1877,PMC6400863,abstract,likely,1
1878,PMC6400863,abstract,probability,1
1879,PMC6400863,discussion,likely,1
1880,PMC6400863,discussion,probability,2
1881,PMC6400863,discussion,unlikely,1
1882,PMC6400863,introduction,likely,1
1883,PMC6400863,introduction,probability,2
1884,PMC6400863,method,always,1
1885,PMC6400863,method,never,1
1886,PMC6400863,method,probability,3
1887,PMC6400863,method,usually,1
1888,PMC6400863,result,likely,1
1889,PMC6400863,result,probability,1
1890,PMC6417245,background,likely,1
1891,PMC6417245,method,often,2
1892,PMC6421289,abstract,probability,1
1893,PMC6421289,discussion,frequently,1
1894,PMC6421289,discussion,likely,1
1895,PMC6421289,discussion,maybe,1
1896,PMC6421289,discussion,probability,1
1897,PMC6421289,introduction,probability,1
1898,PMC6421289,method,always,1
1899,PMC6421289,result,frequently,2
1900,PMC6421661,background,likely,2
1901,PMC6421661,background,often,3
1902,PMC6421661,conclusion,likely,1
1903,PMC6421661,discussion,likely,1
1904,PMC6421661,discussion,often,1
1905,PMC6421661,method,usually,2
1906,PMC6426391,discussion,frequently,1
1907,PMC6426391,discussion,likely,2
1908,PMC6426391,method,never,2
1909,PMC6426391,result,frequently,1
1910,PMC6426391,result,usually,1
1911,PMC6435105,"Evolutionary Psychology, Human Cognitive Architecture and Instructional Design",frequently,1
1912,PMC6435105,"Evolutionary Psychology, Human Cognitive Architecture and Instructional Design",likely,3
1913,PMC6435105,"Evolutionary Psychology, Human Cognitive Architecture and Instructional Design",often,7
1914,PMC6435105,"Evolutionary Psychology, Human Cognitive Architecture and Instructional Design",probably,1
1915,PMC6435105,The Collaborative Learning Context,often,1
1916,PMC6435105,The Collaborative Learning Context,probably,2
1917,PMC6435105,The Collaborative Learning Context,unlikely,1
1918,PMC6435105,Transactive Activities,likely,2
1919,PMC6435105,Transactive Activities,unlikely,1
1920,PMC6435105,abstract,always,1
1921,PMC6435105,abstract,often,2
1922,PMC6435492,Clinical Treatments for Depression,never,1
1923,PMC6435492,Clinical Treatments for Depression,probably,1
1924,PMC6435492,Clinical Treatments for Depression,usually,3
1925,PMC6435492,Explanatory Theories of Depression,frequently,1
1926,PMC6435492,Explanatory Theories of Depression,likely,2
1927,PMC6435492,Explanatory Theories of Depression,often,1
1928,PMC6435492,The Construct of Depression,frequently,1
1929,PMC6435492,The Construct of Depression,likely,2
1930,PMC6435492,The Construct of Depression,often,1
1931,PMC6435492,The Construct of Depression,usually,3
1932,PMC6435492,conclusion,probably,2
1933,PMC6443700,introduction,likely,1
1934,PMC6443700,introduction,often,1
1935,PMC6443700,method,frequently,2
1936,PMC6443700,method,likely,1
1937,PMC6446975,discussion,certainly,1
1938,PMC6446975,discussion,often,1
1939,PMC6446975,introduction,probably,1
1940,PMC6448847,discussion,likely,1
1941,PMC6448847,discussion,usually,1
1942,PMC6448847,introduction,always,1
1943,PMC6448847,introduction,likely,2
1944,PMC6448847,introduction,often,1
1945,PMC6448847,introduction,possibly,1
1946,PMC6448847,introduction,usually,3
1947,PMC6448847,method,always,2
1948,PMC6448847,method,possibly,1
1949,PMC6448847,method,unlikely,1
1950,PMC6448847,method,usually,1
1951,PMC6460993,discussion,never,1
1952,PMC6460993,discussion,often,1
1953,PMC6460993,introduction,certainly,1
1954,PMC6460993,introduction,likely,3
1955,PMC6460993,introduction,often,2
1956,PMC6460993,result,often,1
1957,PMC6472145,abstract,frequently,1
1958,PMC6472145,abstract,often,1
1959,PMC6472145,abstract,probability,1
1960,PMC6472145,discussion,likely,3
1961,PMC6473220,6. Practical Implications,likely,1
1962,PMC6473220,6. Practical Implications,often,1
1963,PMC6473220,discussion,frequently,1
1964,PMC6473220,discussion,never,1
1965,PMC6473220,method,frequently,1
1966,PMC6473220,result,always,4
1967,PMC6473220,result,frequently,2
1968,PMC6473220,result,often,2
1969,PMC6473220,result,probably,3
1970,PMC6478751,discussion,always,1
1971,PMC6478751,discussion,usually,1
1972,PMC6478751,introduction,frequently,1
1973,PMC6478751,introduction,usually,1
1974,PMC6480465,discussion,likely,1
1975,PMC6480465,introduction,always,3
1976,PMC6480465,introduction,likely,1
1977,PMC6480465,method,always,3
1978,PMC6480465,method,never,2
1979,PMC6480465,method,probability,2
1980,PMC6480465,method,usually,1
1981,PMC6480465,result,always,1
1982,PMC6480769,,usually,1
1983,PMC6480769,conclusion,always,1
1984,PMC6480769,conclusion,often,1
1985,PMC6480769,conclusion,probability,1
1986,PMC6480769,conclusion,rarely,1
1987,PMC6480769,introduction,likely,2
1988,PMC6480769,method,always,2
1989,PMC6480769,method,likely,6
1990,PMC6480769,method,never,3
1991,PMC6480769,method,often,4
1992,PMC6480769,method,possibly,1
1993,PMC6480769,method,probability,6
1994,PMC6487963,Challenges faced by educational neuroscience,always,1
1995,PMC6487963,Challenges faced by educational neuroscience,frequently,1
1996,PMC6487963,Challenges faced by educational neuroscience,likely,2
1997,PMC6487963,Challenges faced by educational neuroscience,often,1
1998,PMC6487963,Challenges faced by educational neuroscience,usually,1
1999,PMC6487963,Main criticisms of educational neuroscience,always,1
2000,PMC6487963,Main criticisms of educational neuroscience,likely,2
2001,PMC6487963,Progress in educational neuroscience,frequently,1
2002,PMC6487963,Progress in educational neuroscience,likely,1
2003,PMC6487963,Progress in educational neuroscience,possibly,1
2004,PMC6487963,Why psychology is not enough,rarely,1
2005,PMC6487963,Why psychology is not enough,usually,1
2006,PMC6487963,future,certainly,1
2007,PMC6487963,future,likely,1
2008,PMC6487963,future,often,1
2009,PMC6487963,introduction,likely,2
2010,PMC6491580,discussion,usually,1
2011,PMC6491580,introduction,usually,1
2012,PMC6491580,method,always,1
2013,PMC6491580,method,never,1
2014,PMC6491580,method,probability,2
2015,PMC6497374,discussion,often,1
2016,PMC6497374,method,always,2
2017,PMC6497374,method,frequently,1
2018,PMC6497374,method,usually,1
2019,PMC6497780,discussion,always,1
2020,PMC6497780,discussion,possibly,1
2021,PMC6497780,discussion,probably,1
2022,PMC6497780,discussion,usually,1
2023,PMC6497780,introduction,usually,2
2024,PMC6497780,method,probability,1
2025,PMC6497780,method,usually,2
2026,PMC6497780,result,probability,1
2027,PMC6519296,"Study 2The findings from Study 1 revealed that proximal and distal utility value could have distinct relationships with students’ academic motivation. However, Study 1 included only cross-sectional data. In Study 2, we examined the predictive ability of proximal and distal utility values using a longitudinal data set with different academic outcomes",never,1
2028,PMC6519296,background,likely,4
2029,PMC6519296,background,usually,1
2030,PMC6519296,discussion,rarely,1
2031,PMC6519296,introduction,rarely,1
2032,PMC6521700,Defining Parental Involvement in Schooling,often,1
2033,PMC6521700,Family-School Partnerships in Germany,probability,1
2034,PMC6521700,Predictors and Outcomes of Parental Homework Involvement,always,1
2035,PMC6521700,abstract,always,1
2036,PMC6521700,discussion,often,1
2037,PMC6521700,discussion,possibly,2
2038,PMC6521790,Appendix 1.\u2003Specific eating behaviours and recommended levels\n,never,1
2039,PMC6521790,abstract,often,1
2040,PMC6521790,discussion,frequently,1
2041,PMC6521790,discussion,likely,3
2042,PMC6521790,discussion,possibly,1
2043,PMC6521790,result,never,1
2044,PMC6524712,abstract,often,1
2045,PMC6524712,discussion,often,1
2046,PMC6524712,introduction,frequently,2
2047,PMC6524712,introduction,likely,1
2048,PMC6524712,introduction,never,1
2049,PMC6524712,introduction,often,1
2050,PMC6524712,introduction,probability,2
2051,PMC6524712,introduction,usually,1
2052,PMC6524712,method,frequently,1
2053,PMC6524712,method,often,2
2054,PMC6524712,method,probability,3
2055,PMC6524712,result,probability,1
2056,PMC6529816,discussion,frequently,1
2057,PMC6529816,discussion,likely,11
2058,PMC6529816,discussion,often,1
2059,PMC6529816,method,probability,2
2060,PMC6529816,method,usually,1
2061,PMC6529816,result,likely,1
2062,PMC6530860,discussion,likely,4
2063,PMC6530860,discussion,possibly,1
2064,PMC6530860,introduction,likely,2
2065,PMC6530860,introduction,often,1
2066,PMC6530860,introduction,possibly,2
2067,PMC6530860,introduction,usually,1
2068,PMC6530860,method,likely,1
2069,PMC6536630,Assessing Quality of Parameter Estimation,probability,1
2070,PMC6536630,Research on Sample Size in Multilevel Models,probability,1
2071,PMC6536630,Research on Sample Size in Multilevel Models,usually,1
2072,PMC6536630,abstract,often,1
2073,PMC6536630,discussion,likely,1
2074,PMC6536630,introduction,frequently,1
2075,PMC6543867,introduction,likely,1
2076,PMC6543867,result,never,1
2077,PMC6543867,result,often,1
2078,PMC6543912,discussion,probability,1
2079,PMC6543912,introduction,often,2
2080,PMC6543912,introduction,probably,1
2081,PMC6543912,introduction,usually,2
2082,PMC6543912,method,always,1
2083,PMC6543912,method,frequently,1
2084,PMC6543912,method,never,2
2085,PMC6543912,method,rarely,1
2086,PMC6545987,abstract,likely,1
2087,PMC6545987,abstract,often,1
2088,PMC6545987,abstract,rarely,1
2089,PMC6545987,future,certainly,1
2090,PMC6545987,future,likely,1
2091,PMC6545987,future,often,2
2092,PMC6545987,future,probably,1
2093,PMC6545987,future,unlikely,1
2094,PMC6545987,method,likely,1
2095,PMC6545987,method,often,3
2096,PMC6549543,"Information-Based Termination Rules for CD-CATSome work has been done to develop item selection algorithms for CD-CAT from the information perspective (Xu et al., 2003; Cheng, 2009). The derivation of the termination rules from the information perspective is straightforward and can be obtained by simply replacing the random variable by the posterior distribution of the attribute profiles. The information-based termination rules suggest that a test can stop when",probability,2
2097,PMC6549543,Simulation Studies,certainly,1
2098,PMC6549543,Simulation Studies,probability,7
2099,PMC6549543,Simulation Studies,usually,3
2100,PMC6549543,The Connection and Difference Between the Previous Rules and the SHE Rule,always,1
2101,PMC6549543,The Connection and Difference Between the Previous Rules and the SHE Rule,probability,7
2102,PMC6549543,The Previous Rules for Variable-Length CD-CAT and Their Issues,probability,5
2103,PMC6549543,discussion,often,1
2104,PMC6549543,introduction,often,1
2105,PMC6549543,introduction,probability,3
2106,PMC6555200,The Bayesian EMM Algorithms,probability,5
2107,PMC6555200,Two Empirical Examples,possibly,1
2108,PMC6555200,discussion,possibly,1
2109,PMC6555200,discussion,probability,2
2110,PMC6555200,introduction,likely,1
2111,PMC6555200,introduction,often,1
2112,PMC6556042,background,frequently,1
2113,PMC6556042,background,likely,3
2114,PMC6556042,discussion,likely,1
2115,PMC6556042,method,always,2
2116,PMC6556042,method,never,1
2117,PMC6556042,method,often,2
2118,PMC6556042,method,possibly,1
2119,PMC6593110,discussion,frequently,1
2120,PMC6593110,discussion,probably,1
2121,PMC6593110,introduction,frequently,1
2122,PMC6593110,introduction,often,2
2123,PMC6593110,introduction,probability,2
2124,PMC6593110,introduction,usually,1
2125,PMC6593110,method,always,1
2126,PMC6593110,method,often,1
2127,PMC6598954,discussion,often,3
2128,PMC6598954,introduction,frequently,2
2129,PMC6598954,introduction,often,3
2130,PMC6598954,introduction,rarely,1
2131,PMC6598954,introduction,usually,1
2132,PMC6604722,discussion,likely,1
2133,PMC6604722,introduction,likely,4
2134,PMC6604722,introduction,often,1
2135,PMC6604722,introduction,probably,1
2136,PMC6604722,method,often,1
2137,PMC6616437,discussion,likely,1
2138,PMC6616437,method,always,1
2139,PMC6616437,method,likely,1
2140,PMC6616437,method,never,2
2141,PMC6616437,method,often,3
2142,PMC6616653,discussion,likely,1
2143,PMC6616653,discussion,often,1
2144,PMC6616653,discussion,probably,2
2145,PMC6616653,introduction,often,1
2146,PMC6616653,introduction,possibly,1
2147,PMC6616653,introduction,rarely,2
2148,PMC6616653,introduction,usually,1
2149,PMC6616653,method,always,4
2150,PMC6616653,method,never,2
2151,PMC6616653,method,probability,1
2152,PMC6616653,method,unlikely,1
2153,PMC6616872,introduction,likely,1
2154,PMC6616872,method,never,1
2155,PMC6617002,conclusion,frequently,1
2156,PMC6617002,discussion,probably,1
2157,PMC6617002,discussion,usually,1
2158,PMC6617002,method,always,1
2159,PMC6617002,method,never,1
2160,PMC6617002,method,often,1
2161,PMC6617049,discussion,likely,1
2162,PMC6617049,discussion,maybe,1
2163,PMC6617049,discussion,often,2
2164,PMC6617049,discussion,probably,1
2165,PMC6617049,method,often,1
2166,PMC6617049,result,frequently,1
2167,PMC6617049,result,never,1
2168,PMC6617049,result,often,1
2169,PMC6639693,discussion,possibly,1
2170,PMC6639693,introduction,likely,1
2171,PMC6639782,discussion,likely,1
2172,PMC6639782,introduction,likely,2
2173,PMC6639782,introduction,often,1
2174,PMC6639782,introduction,unlikely,1
2175,PMC6639782,result,often,1
2176,PMC6651095,introduction,always,1
2177,PMC6651095,introduction,likely,1
2178,PMC6651095,introduction,possibly,1
2179,PMC6651095,method,always,1
2180,PMC6651095,method,never,1
2181,PMC6651095,method,often,1
2182,PMC6657589,Theoretical Framework,certainly,1
2183,PMC6657589,Theoretical Framework,likely,2
2184,PMC6657589,Theoretical Framework,usually,6
2185,PMC6661973,background,likely,1
2186,PMC6661973,background,often,4
2187,PMC6661973,background,usually,1
2188,PMC6661973,discussion,frequently,1
2189,PMC6661973,discussion,likely,3
2190,PMC6661973,discussion,often,4
2191,PMC6661973,discussion,probably,2
2192,PMC6661973,method,likely,1
2193,PMC6661973,method,often,2
2194,PMC6661973,method,usually,1
2195,PMC6661973,result,always,1
2196,PMC6678125,discussion,likely,1
2197,PMC6678125,introduction,likely,1
2198,PMC6678125,introduction,usually,1
2199,PMC6680223,abstract,likely,1
2200,PMC6680223,abstract,usually,1
2201,PMC6680223,conclusion,often,1
2202,PMC6680223,discussion,likely,1
2203,PMC6680223,discussion,often,1
2204,PMC6680223,discussion,possibly,2
2205,PMC6680223,discussion,usually,2
2206,PMC6680223,result,likely,1
2207,PMC6680223,result,often,1
2208,PMC6681206,discussion,often,1
2209,PMC6681206,result,always,1
2210,PMC6681206,result,never,1
2211,PMC6681206,result,often,1
2212,PMC6681206,result,usually,1
2213,PMC6682618,discussion,often,1
2214,PMC6682618,introduction,always,1
2215,PMC6682618,introduction,frequently,2
2216,PMC6682618,introduction,likely,1
2217,PMC6682618,introduction,never,1
2218,PMC6682618,introduction,often,2
2219,PMC6682618,introduction,usually,4
2220,PMC6682618,method,always,1
2221,PMC6682618,method,never,2
2222,PMC6682618,method,usually,1
2223,PMC6682618,result,likely,3
2224,PMC6685670,discussion,frequently,3
2225,PMC6685670,discussion,likely,1
2226,PMC6685670,introduction,likely,1
2227,PMC6685670,introduction,often,1
2228,PMC6685670,result,frequently,1
2229,PMC6695850,abstract,often,1
2230,PMC6695850,discussion,likely,1
2231,PMC6695850,discussion,probably,2
2232,PMC6695850,introduction,always,1
2233,PMC6695850,introduction,frequently,1
2234,PMC6695850,introduction,likely,3
2235,PMC6695850,introduction,probably,1
2236,PMC6696365,introduction,always,1
2237,PMC6696365,introduction,frequently,1
2238,PMC6696365,introduction,probability,1
2239,PMC6696365,introduction,usually,1
2240,PMC6696365,method,always,5
2241,PMC6696365,method,never,4
2242,PMC6700216,abstract,often,2
2243,PMC6700216,background,likely,5
2244,PMC6700216,introduction,always,1
2245,PMC6700216,limitation,likely,1
2246,PMC6700216,limitation,often,3
2247,PMC6700216,limitation,possibly,1
2248,PMC6700216,limitation,usually,2
2249,PMC6700216,method,always,1
2250,PMC6700216,result,often,7
2251,PMC6701279,discussion,likely,1
2252,PMC6701279,discussion,often,3
2253,PMC6701279,introduction,often,3
2254,PMC6701279,method,maybe,2
2255,PMC6701279,method,never,3
2256,PMC6701279,method,often,4
2257,PMC6701279,method,probably,1
2258,PMC6707962,abstract,always,1
2259,PMC6707962,abstract,frequently,3
2260,PMC6707962,abstract,likely,1
2261,PMC6707962,abstract,often,2
2262,PMC6707962,conclusion,always,1
2263,PMC6707962,discussion,always,2
2264,PMC6707962,discussion,likely,1
2265,PMC6707962,discussion,often,1
2266,PMC6707962,method,frequently,1
2267,PMC6707962,method,rarely,1
2268,PMC6707962,result,frequently,3
2269,PMC6719524,Levels and Formats of Psychology Research,likely,1
2270,PMC6719524,"The Case of Executive Functions, Self-Regulation, and External Regulation",likely,5
2271,PMC6719524,"The Case of Executive Functions, Self-Regulation, and External Regulation",often,2
2272,PMC6719524,"The Case of Executive Functions, Self-Regulation, and External Regulation",probably,2
2273,PMC6719524,"The Case of Executive Functions, Self-Regulation, and External Regulation",unlikely,1
2274,PMC6719524,introduction,usually,1
2275,PMC6721788,discussion,likely,3
2276,PMC6721788,introduction,frequently,1
2277,PMC6721788,introduction,likely,5
2278,PMC6721788,introduction,often,3
2279,PMC6721788,introduction,probability,2
2280,PMC6721788,introduction,usually,1
2281,PMC6721788,method,likely,3
2282,PMC6721788,method,usually,1
2283,PMC6738197,discussion,often,1
2284,PMC6738197,discussion,usually,1
2285,PMC6738197,introduction,frequently,1
2286,PMC6738197,limitation,unlikely,1
2287,PMC6742709,abstract,often,1
2288,PMC6742709,conclusion,often,1
2289,PMC6742709,introduction,often,1
2290,PMC6742709,limitation,frequently,1
2291,PMC6742709,limitation,often,4
2292,PMC6742709,method,never,1
2293,PMC6742709,result,frequently,1
2294,PMC6742709,result,often,5
2295,PMC6743534,abstract,likely,1
2296,PMC6743534,discussion,likely,2
2297,PMC6743534,discussion,often,1
2298,PMC6743534,discussion,usually,1
2299,PMC6743534,introduction,often,1
2300,PMC6743534,method,often,1
2301,PMC6748354,introduction,always,1
2302,PMC6748354,introduction,never,1
2303,PMC6748354,introduction,often,1
2304,PMC6748354,result,likely,2
2305,PMC6748354,result,probability,1
2306,PMC6753163,Research Aims and Hypotheses,likely,5
2307,PMC6753163,Research Aims and Hypotheses,often,1
2308,PMC6753163,abstract,likely,2
2309,PMC6753163,background,likely,2
2310,PMC6753163,background,often,4
2311,PMC6753163,background,probability,1
2312,PMC6753163,background,probably,1
2313,PMC6753163,discussion,likely,4
2314,PMC6753163,discussion,maybe,1
2315,PMC6753163,discussion,often,1
2316,PMC6753163,discussion,probability,2
2317,PMC6753163,discussion,probably,1
2318,PMC6753163,method,often,1
2319,PMC6753163,result,likely,5
2320,PMC6753163,result,probability,2
2321,PMC6755318,,likely,1
2322,PMC6755318,,often,2
2323,PMC6755318,background,likely,1
2324,PMC6755318,background,often,2
2325,PMC6755318,background,probably,2
2326,PMC6755318,method,likely,1
2327,PMC6755318,method,probability,1
2328,PMC6755318,result,likely,4
2329,PMC6755318,result,never,1
2330,PMC6757227,,always,1
2331,PMC6757227,INSTRUMENT SCOPE,likely,1
2332,PMC6757227,"WHAT IS VALIDITY?The quality of measurements is important to all sciences. Although different terms are used in different disciplines, the underlining principles and problems are the same across disciplines. For example, in physics, the terms “accuracy” and “precision” are commonly used to describe how confident researchers should be in their measurements. In the discourse about survey quality, validity and reliability are the key concepts for measurement quality. Roughly, validity refers to whether an instrument actually measures what it is designed to measure and reliability is the consistency of the instrument’s measurements.In this section, we will briefly outline what validity is and the many types of validity evidence. Reliability, and its relation to validity, will be discussed in The Misuse of Coefficient Alpha. Before getting into the details, we need to emphasize a critical concept about validity that is often overlooked",usually,1
2333,PMC6757227,abstract,frequently,1
2334,PMC6757227,analysis,always,1
2335,PMC6757227,analysis,likely,1
2336,PMC6757227,analysis,never,1
2337,PMC6757227,analysis,often,4
2338,PMC6757227,analysis,possibly,1
2339,PMC6757227,analysis,usually,3
2340,PMC6757227,method,often,1
2341,PMC6759609,Appendix,often,1
2342,PMC6759609,Experimental Procedure,always,2
2343,PMC6759609,background,likely,1
2344,PMC6759609,background,never,1
2345,PMC6759609,background,often,1
2346,PMC6759609,discussion,likely,1
2347,PMC6759609,future,certainly,1
2348,PMC6759609,future,usually,1
2349,PMC6759609,introduction,likely,1
2350,PMC6759609,result,likely,1
2351,PMC6759609,result,probability,1
2352,PMC6760021,abstract,probability,1
2353,PMC6760021,discussion,probably,1
2354,PMC6760021,introduction,always,1
2355,PMC6760021,introduction,likely,4
2356,PMC6760021,introduction,often,2
2357,PMC6760021,method,frequently,1
2358,PMC6776607,discussion,probably,1
2359,PMC6776607,introduction,often,1
2360,PMC6776607,method,often,3
2361,PMC6778602,discussion,likely,2
2362,PMC6778602,limitation,probability,1
2363,PMC6778602,method,never,1
2364,PMC6778602,method,rarely,1
2365,PMC6779982,Findings,always,3
2366,PMC6779982,Findings,never,1
2367,PMC6779982,Findings,often,6
2368,PMC6779982,introduction,rarely,1
2369,PMC6803467,abstract,often,1
2370,PMC6803467,introduction,often,2
2371,PMC6803467,method,often,1
2372,PMC6803467,result,usually,1
2373,PMC6825796,introduction,probably,1
2374,PMC6825796,introduction,usually,1
2375,PMC6825796,result,probably,1
2376,PMC6829805,Ethics approval and consent to participate,always,1
2377,PMC6829805,abstract,likely,2
2378,PMC6829805,conclusion,often,1
2379,PMC6829805,discussion,likely,5
2380,PMC6829805,discussion,often,1
2381,PMC6829805,discussion,probably,1
2382,PMC6829805,introduction,likely,2
2383,PMC6829805,method,always,1
2384,PMC6829805,method,likely,4
2385,PMC6829805,method,never,1
2386,PMC6829805,result,likely,5
2387,PMC6829805,result,often,1
2388,PMC6844235,discussion,likely,1
2389,PMC6844235,discussion,possibly,1
2390,PMC6844235,discussion,probably,1
2391,PMC6844235,introduction,frequently,1
2392,PMC6844235,introduction,often,2
2393,PMC6844235,limitation,certainly,2
2394,PMC6844235,limitation,frequently,1
2395,PMC6844235,method,often,1
2396,PMC6844235,result,likely,2
2397,PMC6844235,result,often,1
2398,PMC6850890,discussion,probably,1
2399,PMC6850890,introduction,often,1
2400,PMC6858324,discussion,likely,2
2401,PMC6858324,discussion,often,2
2402,PMC6858324,introduction,likely,1
2403,PMC6858324,introduction,rarely,1
2404,PMC6858324,method,probability,2
2405,PMC6862529,abstract,often,1
2406,PMC6862529,discussion,likely,1
2407,PMC6862529,discussion,possibly,1
2408,PMC6862529,introduction,often,2
2409,PMC6862529,method,often,1
2410,PMC6862529,result,always,2
2411,PMC6862529,result,maybe,1
2412,PMC6862529,result,often,9
2413,PMC6862529,result,rarely,1
2414,PMC6862580,introduction,often,1
2415,PMC6888129,discussion,frequently,1
2416,PMC6888129,discussion,often,1
2417,PMC6888129,discussion,probably,1
2418,PMC6888129,introduction,likely,3
2419,PMC6888129,introduction,often,1
2420,PMC6901820,discussion,possibly,1
2421,PMC6901820,discussion,probably,1
2422,PMC6901820,discussion,rarely,1
2423,PMC6901820,discussion,usually,1
2424,PMC6901820,introduction,always,1
2425,PMC6901820,introduction,frequently,2
2426,PMC6901820,introduction,often,2
2427,PMC6901820,introduction,probably,1
2428,PMC6901820,introduction,usually,2
2429,PMC6901820,method,frequently,1
2430,PMC6901820,method,likely,2
2431,PMC6901820,method,never,3
2432,PMC6901820,method,often,6
2433,PMC6901820,method,probability,2
2434,PMC6901820,method,rarely,2
2435,PMC6901820,method,usually,2
2436,PMC6901820,result,frequently,1
2437,PMC6901820,result,often,4
2438,PMC6903715,discussion,probability,1
2439,PMC6903715,introduction,certainly,1
2440,PMC6903715,introduction,usually,1
2441,PMC6903715,method,always,1
2442,PMC6903715,method,frequently,1
2443,PMC6903715,method,never,1
2444,PMC6903715,method,often,1
2445,PMC6903715,method,rarely,1
2446,PMC6909445,conclusion,usually,1
2447,PMC6909445,discussion,frequently,1
2448,PMC6909445,discussion,likely,1
2449,PMC6909445,method,frequently,1
2450,PMC6926554,discussion,probability,1
2451,PMC6926554,discussion,usually,4
2452,PMC6926554,method,always,1
2453,PMC6926554,method,never,1
2454,PMC6926554,method,often,2
2455,PMC6926554,result,probability,3
2456,PMC6926900,discussion,likely,1
2457,PMC6926900,discussion,possibly,1
2458,PMC6926900,introduction,likely,1
2459,PMC6926900,method,likely,1
2460,PMC6926900,result,unlikely,1
2461,PMC6960513,introduction,often,1
2462,PMC6960513,introduction,usually,1
2463,PMC6960513,method,always,1
2464,PMC6960513,method,never,1
2465,PMC6966964,method,always,1
2466,PMC6966964,method,never,1
2467,PMC6967043,background,often,2
2468,PMC6981716,discussion,likely,1
2469,PMC6981716,discussion,often,1
2470,PMC6981716,discussion,usually,1
2471,PMC6981716,method,always,1
2472,PMC6981716,method,never,1
2473,PMC6981716,method,usually,1
